,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,1281,1237,728,566,1389,1746,1044,632,1221,1800,632,2000
2,1281,0,1360,671,1342,224,1389,728,1887,1712,1414,1217,825
3,1237,1360,0,1414,1746,1581,2561,632,1432,447,671,608,1552
4,728,671,1414,0,671,707,1166,894,1360,1612,1746,985,1487
5,566,1342,1746,671,0,1360,1300,1404,1020,1780,2236,1166,2154
6,1389,224,1581,707,1360,0,1208,949,2012,1924,1628,1404,900
7,1746,1389,2561,1166,1300,1208,0,1980,2309,2778,2780,2147,2062
8,1044,728,632,894,1404,949,1980,0,1500,1000,854,640,1082
9,632,1887,1432,1360,1020,2012,2309,1500,0,1204,2088,894,2546
10,1221,1712,447,1612,1780,1924,2778,1000,1204,0,1063,640,1992
11,1800,1414,671,1746,2236,1628,2780,854,2088,1063,0,1217,1217
12,632,1217,608,985,1166,1404,2147,640,894,640,1217,0,1720
13,2000,825,1552,1487,2154,900,2062,1082,2546,1992,1217,1720,0
